Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,87,CHI,Dustin Lyman,TE,24,2004,0,0,1,2,2,55,0,0,0,0,0,0,0,0,37,278,3,16,,,Wake Forest,,LymaDu00
3,88,MIN,Doug Chapman,RB,23,2003,0,0,0,3,3,26,0,0,0,0,0,90,317,0,17,143,1,,,,Marshall,College Stats,ChapDo00
3,89,BUF,Corey Moore,LB,23,2001,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,11,,1.0,Virginia Tech,College Stats,MoorCo20
3,90,TAM,Nate Webster,LB,22,2008,0,0,2,19,8,99,0,0,0,0,0,0,0,0,0,0,0,244,,4.0,Miami (FL),College Stats,WebsNa20
3,91,IND,David Macklin,DB,22,2008,0,0,4,29,14,120,0,0,0,0,0,0,0,0,0,0,0,320,14,1.0,Penn St.,College Stats,MackDa20
3,92,JAX,T.J. Slaughter,LB,23,2006,0,0,3,17,14,78,0,0,0,0,0,0,0,0,0,0,0,187,1,2.0,Southern Miss,,SlauT.20
3,93,TEN,Byron Frisch,DE,23,2002,0,0,0,2,,23,0,0,0,0,0,0,0,0,0,0,0,18,,5.0,BYU,,FrisBy20
3,94,STL,John St. Clair,T,23,2010,0,0,5,30,8,132,0,0,0,0,0,0,0,0,2,20,1,,,,Virginia,,St.CJo20
4,95,CLE,Lewis Sanders,DB,22,2008,0,0,0,14,7,97,0,0,0,0,0,0,0,0,0,0,0,202,5,1.0,Maryland,College Stats,SandLe20
4,96,NOR,Terrelle Smith,FB,22,2009,0,0,8,3,2,146,0,0,0,0,0,58,185,0,69,361,3,,,,Arizona St.,College Stats,SmitTe00
4,97,CIN,Curtis Keaton,RB,23,2002,0,0,0,0,0,25,0,0,0,0,0,23,91,0,1,9,0,,,,James Madison,College Stats,KeatCu00
4,98,GNB,Na'il Diggs,LB,22,2011,0,0,10,55,34,170,0,0,0,0,0,0,0,0,0,0,0,541,5,11.5,Ohio St.,,DiggNa20
4,99,PHI,Gari Scott,WR,22,2001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,26,0,,,,Michigan St.,College Stats,ScotGa00
4,100,ATL,Michael Thompson,T,23,2002,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee St.,,ThomMi20
4,101,DEN,Jerry Johnson,DT,23,2001,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,10,,,Florida St.,,JohnJe21
4,102,ARI,David Barrett,DB,22,2008,0,0,6,31,13,131,0,0,0,0,0,0,0,0,0,0,0,391,18,0.5,Arkansas,College Stats,BarrDa22
